ClientX,ClientY,Instantaneous_Velocity,acceleration,altitudeAngle,azimuthAngle,TiltX,TiltY,Pressure,TimeSec,timestamp,StrokeDuration
1239.8978271484,100.04296875,0.11805216471354,0,1.0821041362365,0,28,0,0.047619052231312,3,1710452396063,1627
1239.8978271484,100.39778900146,0.059099833170573,-0.0039301554361979,1.0821041362365,0,28,0,0.050305254757404,18,1710452396078,245
1240.0163574219,100.45703125,0.035465115594211,-0.0012510589165116,1.0821041362365,0,28,0,0.06031746417284,34,1710452396094,986
1240.1341552734,100.45703125,0.014805359953385,-0.00060388302476054,1.0821041362365,0,28,0,0.078144080936909,85,1710452396145,6024
1240.1341552734,100.33854675293,0.010568915049901,-0.00030402159337295,1.0821041362365,0,28,0,0.12210012972355,100,1710452396160,1892
1240.1341552734,100.220703125,0.0072256481524331,-0.00024727109565523,1.0821041362365,0,28,0,0.14432235062122,118,1710452396178,2179
1240.1341552734,99.86589050293,0.0035272854477612,7.332466050655E-5,1.0821041362365,0,28,0,0.16630037128925,134,1710452396194,1254
1240.0163574219,99.511070251465,0.0049879291908142,9.9894954404555E-5,1.0821041362365,0,28,0,0.18705739080906,150,1710452396210,0
1239.8386230469,99.038414001465,0.0099352306432247,0.00017503614043686,1.0821041362365,0,28,0,0.19633701443672,167,1710452396227,0
1239.6022949219,98.68359375,0.013318835210585,0.00017113788980655,1.0821041362365,0,28,0,0.204395622015,183,1710452396243,0
1239.1888427734,98.2109375,0.017914671381211,0.00023030874855187,1.0821041362365,0,28,0,0.21123322844505,201,1710452396261,0
1238.8933105469,97.73828125,0.02168500199674,0.00022507086458503,1.0821041362365,0,28,0,0.21440783143044,217,1710452396277,0
1238.2429199219,97.38346862793,0.025499805258678,0.00025165839184455,1.0821041362365,0,28,0,0.21782663464546,234,1710452396294,0
1237.23828125,96.8515625,0.032030839505991,0.00027061919945868,1.0821041362365,0,28,0,0.2207570374012,251,1710452396311,0
1235.87890625,95.4921875,0.044492744610872,0.00035060114157468,1.0818808613377,0.032816417299546,28,1,0.21978023648262,267,1710452396327,0
1233.3972167969,93.66015625,0.06284728350225,0.00043681601353974,1.0818808613377,0.032816417299546,28,1,0.22197803854942,286,1710452396346,0
1230.9147949219,91.296226501465,0.07759419907277,0.00045156008990147,1.0818808613377,0.032816417299546,28,1,0.22515264153481,320,1710452396380,0
1228.2552490234,87.632164001465,0.10297726077617,0.00058539673718318,1.0818808613377,0.032816417299546,28,1,0.22466424107552,328,1710452396388,0
1225.7728271484,83.90885925293,0.12684892110381,0.00074768034856862,1.0818808613377,0.032816417299546,28,1,0.2278388440609,336,1710452396396,0
1220.3952636719,78.1171875,0.15876227611196,0.00079049637608954,1.0818808613377,0.032816417299546,28,1,0.23882785439491,368,1710452396428,0
1217.9720458984,75.63542175293,0.16931636464584,0.00082127531141981,1.0818808613377,0.032816417299546,28,1,0.24566546082497,386,1710452396446,0
1215.4310302734,73.38932800293,0.17980257476736,0.00081215976728025,1.0818808613377,0.032816417299546,28,1,0.25103786587715,401,1710452396461,0
1212.7122802734,70.43424987793,0.18988572793041,0.00082314813643385,1.0818808613377,0.032816417299546,28,1,0.25103786587715,422,1710452396482,0
